iterStep,process,time
0,health serialization,0.038236141204833984
1,order serialization,0.015282154083251953
2,health serialization,0.009406566619873047
3,order serialization,0.0015587806701660156
4,health serialization,0.004910469055175781
5,order serialization,0.008753061294555664
6,health serialization,0.0021696090698242188
7,order serialization,0.0013151168823242188
8,health serialization,0.0008645057678222656
9,order serialization,0.02084827423095703
10,health serialization,0.003888845443725586
11,order serialization,0.007724761962890625
12,health serialization,0.011679887771606445
13,order serialization,0.032480478286743164
14,health serialization,0.0007388591766357422
15,order serialization,0.009467124938964844
16,health serialization,0.029990196228027344
17,order serialization,0.009252071380615234
18,health serialization,0.012109041213989258
19,order serialization,0.014500856399536133
20,health serialization,0.014357805252075195
21,order serialization,0.01152944564819336
22,health serialization,0.014249801635742188
23,order serialization,0.010824441909790039
24,health serialization,0.0013418197631835938
25,order serialization,0.00420832633972168
26,health serialization,0.009600639343261719
27,order serialization,0.021016359329223633
28,health serialization,0.0007441043853759766
29,order serialization,0.03336453437805176
30,health serialization,0.002939939498901367
31,order serialization,0.02094101905822754
32,health serialization,0.0069391727447509766
33,order serialization,0.016803264617919922
34,health serialization,0.01108860969543457
35,order serialization,0.024678945541381836
36,health serialization,0.005620241165161133
37,order serialization,0.028772592544555664
38,health serialization,0.039309024810791016
39,order serialization,0.006521701812744141
40,health serialization,0.03435206413269043
41,order serialization,0.0017707347869873047
42,health serialization,0.00371551513671875
43,order serialization,0.020865201950073242
44,health serialization,0.013759613037109375
45,order serialization,0.028802871704101562
46,health serialization,0.003947734832763672
47,order serialization,0.027390480041503906
48,health serialization,0.0388944149017334
49,order serialization,0.007591962814331055
50,health serialization,0.015180587768554688
51,order serialization,0.029056549072265625
52,health serialization,0.002773761749267578
53,order serialization,0.06339406967163086
54,health serialization,0.01692819595336914
55,order serialization,0.009533405303955078
56,health serialization,0.02263951301574707
57,order serialization,0.04546523094177246
58,health serialization,0.003320932388305664
59,order serialization,0.05513596534729004
60,health serialization,0.004263162612915039
61,order serialization,0.012750864028930664
62,health serialization,0.05130314826965332
63,order serialization,0.013434648513793945
64,health serialization,0.008715152740478516
65,order serialization,0.028966188430786133
66,health serialization,0.027234554290771484
67,order serialization,0.023436546325683594
68,health serialization,0.018236398696899414
69,order serialization,0.017483234405517578
70,health serialization,0.01852107048034668
71,order serialization,0.03680276870727539
72,health serialization,0.012776851654052734
73,order serialization,0.019585847854614258
74,health serialization,0.01186680793762207
