iterStep,process,time
0,health serialization,0.0746762752532959
1,order serialization,0.07442784309387207
2,health serialization,0.01653909683227539
3,order serialization,0.008974075317382812
4,health serialization,0.033329010009765625
5,order serialization,0.03510904312133789
6,health serialization,0.01089930534362793
7,order serialization,0.03210711479187012
8,health serialization,0.011468648910522461
9,order serialization,0.014443159103393555
10,health serialization,0.0028307437896728516
11,order serialization,0.016897916793823242
12,health serialization,0.019818544387817383
13,order serialization,0.01835465431213379
14,health serialization,0.011914253234863281
15,order serialization,0.019974708557128906
16,health serialization,0.013759374618530273
17,order serialization,0.004477739334106445
18,health serialization,0.004561662673950195
19,order serialization,0.027543306350708008
20,health serialization,0.011189460754394531
21,order serialization,0.03725385665893555
22,health serialization,0.015563249588012695
23,order serialization,0.02714824676513672
24,health serialization,0.007628440856933594
25,order serialization,0.005219459533691406
26,health serialization,0.007370948791503906
27,order serialization,0.012338876724243164
28,health serialization,0.002644062042236328
29,order serialization,0.06581950187683105
30,health serialization,0.03719639778137207
31,order serialization,0.004843235015869141
32,health serialization,0.0055997371673583984
33,order serialization,0.018670320510864258
34,health serialization,0.017820358276367188
35,order serialization,0.007792949676513672
36,health serialization,0.0011208057403564453
37,order serialization,0.033035993576049805
38,health serialization,0.0036830902099609375
39,order serialization,0.04712319374084473
40,health serialization,0.015519142150878906
41,order serialization,0.0022084712982177734
42,health serialization,0.0041425228118896484
43,order serialization,0.006815910339355469
44,health serialization,0.0037534236907958984
45,order serialization,0.05246472358703613
46,health serialization,0.021496057510375977
47,order serialization,0.0023131370544433594
48,health serialization,0.010187864303588867
49,order serialization,0.00963592529296875
50,health serialization,0.008921623229980469
51,order serialization,0.06163477897644043
52,health serialization,0.016538381576538086
53,order serialization,0.03303718566894531
54,health serialization,0.03730416297912598
55,order serialization,0.004880666732788086
56,health serialization,0.005383491516113281
57,order serialization,0.008112907409667969
58,health serialization,0.020856142044067383
59,order serialization,0.013843774795532227
60,health serialization,0.02083301544189453
61,order serialization,0.023505687713623047
62,health serialization,0.004509925842285156
63,order serialization,0.029708385467529297
64,health serialization,0.0008697509765625
65,order serialization,0.019284725189208984
66,health serialization,0.016775846481323242
67,order serialization,0.0566859245300293
68,health serialization,0.026930809020996094
69,order serialization,0.040788888931274414
70,health serialization,0.01981949806213379
71,order serialization,0.023830652236938477
72,health serialization,0.012226581573486328
73,order serialization,0.023541927337646484
74,health serialization,0.0434107780456543
75,order serialization,0.003173351287841797
76,health serialization,0.014633417129516602
77,order serialization,0.031911611557006836
78,health serialization,0.047098398208618164
79,order serialization,0.020587921142578125
80,health serialization,0.02734065055847168
81,order serialization,0.019108057022094727
82,health serialization,0.016822338104248047
83,order serialization,0.02157139778137207
84,health serialization,0.02043771743774414
85,order serialization,0.02057170867919922
86,health serialization,0.017894983291625977
87,order serialization,0.0072667598724365234
88,health serialization,0.020331382751464844
89,order serialization,0.01667928695678711
90,health serialization,0.016021728515625
91,order serialization,0.01024627685546875
92,health serialization,0.0009400844573974609
93,order serialization,0.02722311019897461
94,health serialization,0.00682520866394043
95,order serialization,0.001522064208984375
96,health serialization,0.005625009536743164
97,order serialization,0.005730152130126953
98,health serialization,0.001317739486694336
99,order serialization,0.02372455596923828
100,health serialization,0.0009133815765380859
101,order serialization,0.022578716278076172
102,health serialization,0.02825474739074707
103,order serialization,0.027614593505859375
104,health serialization,0.019536733627319336
105,order serialization,0.009927034378051758
106,health serialization,0.005567789077758789
107,order serialization,0.005101203918457031
108,health serialization,0.00809931755065918
109,order serialization,0.024624109268188477
110,health serialization,0.0076525211334228516
111,order serialization,0.016524553298950195
112,health serialization,0.015408515930175781
113,order serialization,0.03193354606628418
114,health serialization,0.0034856796264648438
115,order serialization,0.02288055419921875
116,health serialization,0.014038801193237305
117,order serialization,0.03162956237792969
118,health serialization,0.01958155632019043
119,order serialization,0.04553365707397461
120,health serialization,0.024928569793701172
121,order serialization,0.023082256317138672
122,health serialization,0.008001565933227539
123,order serialization,0.0037147998809814453
124,health serialization,0.018754959106445312
125,order serialization,0.02686905860900879
126,health serialization,0.026325702667236328
127,order serialization,0.041666269302368164
128,health serialization,0.0008389949798583984
129,order serialization,0.06761717796325684
130,health serialization,0.011028528213500977
131,order serialization,0.00817108154296875
132,health serialization,0.0008420944213867188
133,order serialization,0.0035157203674316406
134,health serialization,0.013188600540161133
135,order serialization,0.044270992279052734
136,health serialization,0.007097482681274414
137,order serialization,0.024856090545654297
138,health serialization,0.020929574966430664
139,order serialization,0.05727696418762207
140,health serialization,0.03193998336791992
141,order serialization,0.028670310974121094
142,health serialization,0.007490396499633789
143,order serialization,0.024698734283447266
144,health serialization,0.001272439956665039
145,order serialization,0.08618497848510742
146,health serialization,0.0008404254913330078
147,order serialization,0.044783592224121094
148,health serialization,0.008463382720947266
149,order serialization,0.02356719970703125
150,health serialization,0.010023355484008789
151,order serialization,0.014341354370117188
152,health serialization,0.009068965911865234
153,order serialization,0.019845962524414062
154,health serialization,0.032192230224609375
155,order serialization,0.0038442611694335938
156,health serialization,0.019666671752929688
157,order serialization,0.023020267486572266
158,health serialization,0.010637283325195312
159,order serialization,0.025544404983520508
160,health serialization,0.009063959121704102
161,order serialization,0.04629182815551758
162,health serialization,0.007449626922607422
163,order serialization,0.01859140396118164
164,health serialization,0.002004384994506836
165,order serialization,0.017226696014404297
166,health serialization,0.011655330657958984
167,order serialization,0.04920339584350586
168,health serialization,0.0008113384246826172
169,order serialization,0.021941423416137695
170,health serialization,0.009286880493164062
171,order serialization,0.03255796432495117
172,health serialization,0.008014678955078125
173,order serialization,0.05102276802062988
174,health serialization,0.023407697677612305
175,order serialization,0.01927042007446289
176,health serialization,0.013194799423217773
177,order serialization,0.027883529663085938
178,health serialization,0.02390146255493164
179,order serialization,0.024053096771240234
180,health serialization,0.008188962936401367
181,order serialization,0.02274155616760254
182,health serialization,0.003766298294067383
183,order serialization,0.041721343994140625
184,health serialization,0.020447492599487305
185,order serialization,0.0023813247680664062
186,health serialization,0.005976438522338867
187,order serialization,0.010148286819458008
188,health serialization,0.0049283504486083984
189,order serialization,0.03205108642578125
190,health serialization,0.002907276153564453
191,order serialization,0.016048908233642578
192,health serialization,0.006232500076293945
193,order serialization,0.01594829559326172
194,health serialization,0.044573068618774414
195,order serialization,0.040635108947753906
196,health serialization,0.004713773727416992
197,order serialization,0.04239487648010254
198,health serialization,0.03141283988952637
199,order serialization,0.011731147766113281
200,health serialization,0.011119842529296875
201,order serialization,0.02786731719970703
202,health serialization,0.007143735885620117
203,order serialization,0.034998416900634766
204,health serialization,0.026348352432250977
205,order serialization,0.03302121162414551
206,health serialization,0.007468461990356445
207,order serialization,0.0345151424407959
208,health serialization,0.001102447509765625
209,order serialization,0.02557849884033203
210,health serialization,0.0017631053924560547
211,order serialization,0.004978179931640625
212,health serialization,0.014613628387451172
213,order serialization,0.01541280746459961
214,health serialization,0.0032079219818115234
215,order serialization,0.02057623863220215
216,health serialization,0.001033782958984375
217,order serialization,0.03872346878051758
218,health serialization,0.0010783672332763672
219,order serialization,0.04562997817993164
220,health serialization,0.0009281635284423828
221,order serialization,0.02852034568786621
222,health serialization,0.003092527389526367
223,order serialization,0.02562880516052246
224,health serialization,0.0008537769317626953
225,order serialization,0.0035843849182128906
