iterStep,process,time
0,health serialization,0.021382570266723633
1,order serialization,0.07789325714111328
2,health serialization,0.00890207290649414
3,order serialization,0.0322873592376709
4,health serialization,0.010166406631469727
5,order serialization,0.050695180892944336
6,health serialization,0.02808690071105957
7,order serialization,0.015823841094970703
8,health serialization,0.03505873680114746
9,order serialization,0.0057010650634765625
10,health serialization,0.02510237693786621
11,order serialization,0.024619340896606445
12,health serialization,0.003570556640625
13,order serialization,0.04045438766479492
14,health serialization,0.023159503936767578
15,order serialization,0.028217315673828125
16,health serialization,0.0010061264038085938
17,order serialization,0.038516998291015625
18,health serialization,0.0177915096282959
19,order serialization,0.038721561431884766
20,health serialization,0.010802268981933594
21,order serialization,0.06284737586975098
22,health serialization,0.012113809585571289
23,order serialization,0.05268692970275879
24,health serialization,0.013632535934448242
25,order serialization,0.05689716339111328
26,health serialization,0.0033533573150634766
27,order serialization,0.061031341552734375
28,health serialization,0.03303647041320801
29,order serialization,0.03248929977416992
30,health serialization,0.05279135704040527
31,order serialization,0.06591939926147461
32,health serialization,0.004712104797363281
33,order serialization,0.05934429168701172
34,health serialization,0.0194699764251709
35,order serialization,0.03663945198059082
36,health serialization,0.02448415756225586
37,order serialization,0.024031400680541992
38,health serialization,0.0033125877380371094
39,order serialization,0.04669499397277832
40,health serialization,0.005698680877685547
41,order serialization,0.032453298568725586
42,health serialization,0.007505655288696289
43,order serialization,0.1759178638458252
44,health serialization,0.017720699310302734
45,order serialization,0.03191947937011719
46,health serialization,0.0009031295776367188
47,order serialization,0.03854632377624512
48,health serialization,0.012525320053100586
49,order serialization,0.05421590805053711
50,health serialization,0.03208351135253906
51,order serialization,0.025639057159423828
52,health serialization,0.018230676651000977
53,order serialization,0.02980327606201172
54,health serialization,0.040883541107177734
55,order serialization,0.040419816970825195
56,health serialization,0.014101743698120117
57,order serialization,0.08857464790344238
58,health serialization,0.03392958641052246
59,order serialization,0.059958457946777344
60,health serialization,0.00467371940612793
61,order serialization,0.02657938003540039
62,health serialization,0.006478071212768555
63,order serialization,0.037186384201049805
64,health serialization,0.03128957748413086
65,order serialization,0.035564422607421875
66,health serialization,0.02086162567138672
67,order serialization,0.07961106300354004
68,health serialization,0.015451192855834961
69,order serialization,0.03309440612792969
70,health serialization,0.0008313655853271484
71,order serialization,0.06115865707397461
72,health serialization,0.05122947692871094
73,order serialization,0.05704069137573242
74,health serialization,0.0008172988891601562
75,order serialization,0.01577281951904297
76,health serialization,0.0008502006530761719
77,order serialization,0.013950586318969727
78,health serialization,0.0010292530059814453
79,order serialization,0.0461421012878418
80,health serialization,0.0053558349609375
81,order serialization,0.04607582092285156
82,health serialization,0.0024721622467041016
83,order serialization,0.09466052055358887
84,health serialization,0.008683204650878906
85,order serialization,0.0438687801361084
86,health serialization,0.015116214752197266
87,order serialization,0.06593942642211914
88,health serialization,0.005604267120361328
