iterStep,process,time
0,health serialization,0.014701366424560547
1,order serialization,0.019516706466674805
2,health serialization,0.013300180435180664
3,order serialization,0.03900146484375
4,health serialization,0.001556396484375
5,order serialization,0.08358240127563477
6,health serialization,0.009111642837524414
7,order serialization,0.034017086029052734
8,health serialization,0.01775813102722168
9,order serialization,0.015817642211914062
10,health serialization,0.0034127235412597656
11,order serialization,0.009485960006713867
12,health serialization,0.003549337387084961
13,order serialization,0.008380889892578125
14,health serialization,0.006995439529418945
15,order serialization,0.03336644172668457
16,health serialization,0.006197690963745117
17,order serialization,0.026684284210205078
18,health serialization,0.03427767753601074
19,order serialization,0.04023003578186035
20,health serialization,0.007832050323486328
21,order serialization,0.0865945816040039
22,health serialization,0.02055215835571289
23,order serialization,0.013100385665893555
24,health serialization,0.019984006881713867
25,order serialization,0.04720902442932129
26,health serialization,0.015638351440429688
27,order serialization,0.01062464714050293
28,health serialization,0.0065670013427734375
29,order serialization,0.02825140953063965
30,health serialization,0.01755380630493164
31,order serialization,0.013115644454956055
32,health serialization,0.0192263126373291
33,order serialization,0.022422313690185547
34,health serialization,0.006927490234375
35,order serialization,0.013000726699829102
36,health serialization,0.01169896125793457
37,order serialization,0.04253363609313965
38,health serialization,0.00850987434387207
39,order serialization,0.0375361442565918
40,health serialization,0.007294416427612305
41,order serialization,0.017270803451538086
42,health serialization,0.009911298751831055
43,order serialization,0.03617095947265625
44,health serialization,0.01908111572265625
45,order serialization,0.0026252269744873047
46,health serialization,0.0034377574920654297
47,order serialization,0.015182256698608398
48,health serialization,0.00927734375
49,order serialization,0.04861330986022949
50,health serialization,0.008531808853149414
51,order serialization,0.04595780372619629
52,health serialization,0.012728452682495117
53,order serialization,0.0292360782623291
54,health serialization,0.012280702590942383
55,order serialization,0.030365943908691406
56,health serialization,0.0012578964233398438
57,order serialization,0.11811447143554688
58,health serialization,0.0033681392669677734
59,order serialization,0.043770790100097656
60,health serialization,0.014656543731689453
61,order serialization,0.026601552963256836
62,health serialization,0.007497310638427734
63,order serialization,0.06405138969421387
64,health serialization,0.0029366016387939453
65,order serialization,0.039308786392211914
66,health serialization,0.029047727584838867
67,order serialization,0.017589092254638672
68,health serialization,0.009495735168457031
69,order serialization,0.019982099533081055
70,health serialization,0.013695716857910156
71,order serialization,0.029740571975708008
72,health serialization,0.018079519271850586
73,order serialization,0.04346942901611328
74,health serialization,0.006424903869628906
75,order serialization,0.04983925819396973
76,health serialization,0.013379573822021484
77,order serialization,0.026313304901123047
78,health serialization,0.012662172317504883
79,order serialization,0.010651111602783203
80,health serialization,0.032946109771728516
81,order serialization,0.06115889549255371
82,health serialization,0.01633906364440918
83,order serialization,0.04147195816040039
84,health serialization,0.008341312408447266
85,order serialization,0.049866437911987305
86,health serialization,0.008739471435546875
87,order serialization,0.033170223236083984
88,health serialization,0.008368492126464844
89,order serialization,0.09400582313537598
90,health serialization,0.029088497161865234
91,order serialization,0.042746782302856445
92,health serialization,0.017568349838256836
93,order serialization,0.04590034484863281
94,health serialization,0.02363896369934082
95,order serialization,0.05006051063537598
96,health serialization,0.002130270004272461
97,order serialization,0.005660057067871094
98,health serialization,0.010999917984008789
99,order serialization,0.029555320739746094
100,health serialization,0.0731511116027832
101,order serialization,0.02607274055480957
102,health serialization,0.019008874893188477
103,order serialization,0.021915435791015625
104,health serialization,0.016355037689208984
105,order serialization,0.05113577842712402
106,health serialization,0.005116701126098633
107,order serialization,0.04459881782531738
108,health serialization,0.003035306930541992
109,order serialization,0.03321361541748047
110,health serialization,0.005179643630981445
111,order serialization,0.02258920669555664
112,health serialization,0.013045787811279297
113,order serialization,0.12301254272460938
114,health serialization,0.008605480194091797
115,order serialization,0.032523155212402344
116,health serialization,0.007364034652709961
117,order serialization,0.04191088676452637
118,health serialization,0.054840803146362305
119,order serialization,0.04287600517272949
120,health serialization,0.0021889209747314453
121,order serialization,0.03516721725463867
122,health serialization,0.0014793872833251953
123,order serialization,0.06473517417907715
124,health serialization,0.023218154907226562
125,order serialization,0.011653900146484375
126,health serialization,0.013535737991333008
127,order serialization,0.01603245735168457
128,health serialization,0.00477910041809082
129,order serialization,0.0568232536315918
130,health serialization,0.0012776851654052734
131,order serialization,0.0043544769287109375
132,health serialization,0.03259396553039551
133,order serialization,0.03281211853027344
134,health serialization,0.02275681495666504
135,order serialization,0.029335737228393555
136,health serialization,0.005426168441772461
137,order serialization,0.030732393264770508
138,health serialization,0.015829086303710938
139,order serialization,0.02629995346069336
140,health serialization,0.017766714096069336
141,order serialization,0.06609749794006348
142,health serialization,0.0029387474060058594
143,order serialization,0.07009315490722656
144,health serialization,0.007920980453491211
145,order serialization,0.0429232120513916
146,health serialization,0.010470390319824219
147,order serialization,0.06335306167602539
148,health serialization,0.01747608184814453
149,order serialization,0.04233551025390625
150,health serialization,0.02270984649658203
151,order serialization,0.02474045753479004
152,health serialization,0.0034689903259277344
153,order serialization,0.032064199447631836
154,health serialization,0.023291826248168945
155,order serialization,0.04439544677734375
156,health serialization,0.010991334915161133
157,order serialization,0.03765368461608887
158,health serialization,0.014997243881225586
159,order serialization,0.02571582794189453
160,health serialization,0.006026506423950195
161,order serialization,0.04960989952087402
162,health serialization,0.0018541812896728516
163,order serialization,0.0396418571472168
164,health serialization,0.022369384765625
165,order serialization,0.02377462387084961
166,health serialization,0.016533851623535156
167,order serialization,0.004599094390869141
168,health serialization,0.004744529724121094
169,order serialization,0.021954774856567383
170,health serialization,0.008902549743652344
171,order serialization,0.03836989402770996
172,health serialization,0.011278390884399414
173,order serialization,0.04489541053771973
174,health serialization,0.017673492431640625
175,order serialization,0.02469038963317871
176,health serialization,0.0033936500549316406
177,order serialization,0.0363154411315918
178,health serialization,0.015188217163085938
179,order serialization,0.04278755187988281
180,health serialization,0.042174339294433594
181,order serialization,0.05348992347717285
182,health serialization,0.022402048110961914
183,order serialization,0.02684760093688965
184,health serialization,0.02422928810119629
185,order serialization,0.028146743774414062
186,health serialization,0.008060455322265625
187,order serialization,0.03939056396484375
188,health serialization,0.009447336196899414
189,order serialization,0.05695962905883789
190,health serialization,0.023472070693969727
191,order serialization,0.037305593490600586
192,health serialization,0.01280832290649414
193,order serialization,0.02498030662536621
194,health serialization,0.0011529922485351562
195,order serialization,0.020623445510864258
196,health serialization,0.0054988861083984375
197,order serialization,0.023019075393676758
198,health serialization,0.003418445587158203
199,order serialization,0.02502727508544922
200,health serialization,0.003340482711791992
201,order serialization,0.02392721176147461
202,health serialization,0.016453027725219727
203,order serialization,0.03641486167907715
204,health serialization,0.004755496978759766
205,order serialization,0.046411752700805664
206,health serialization,0.014009237289428711
207,order serialization,0.025394439697265625
208,health serialization,0.014628410339355469
209,order serialization,0.08343386650085449
210,health serialization,0.02077651023864746
211,order serialization,0.016213655471801758
212,health serialization,0.01857161521911621
213,order serialization,0.028275012969970703
214,health serialization,0.002975940704345703
215,order serialization,0.023301124572753906
216,health serialization,0.0023779869079589844
217,order serialization,0.018952369689941406
218,health serialization,0.0216062068939209
219,order serialization,0.06048583984375
220,health serialization,0.009715795516967773
221,order serialization,0.04821133613586426
222,health serialization,0.017000436782836914
223,order serialization,0.03068852424621582
224,health serialization,0.023087263107299805
225,order serialization,0.020688533782958984
226,health serialization,0.00855112075805664
227,order serialization,0.012080669403076172
228,health serialization,0.012654304504394531
229,order serialization,0.03709864616394043
230,health serialization,0.01508951187133789
231,order serialization,0.017223119735717773
232,health serialization,0.005662202835083008
233,order serialization,0.02974677085876465
234,health serialization,0.008890390396118164
235,order serialization,0.013480901718139648
236,health serialization,0.007344245910644531
237,order serialization,0.07467412948608398
238,health serialization,0.012056589126586914
239,order serialization,0.03270411491394043
240,health serialization,0.013921260833740234
241,order serialization,0.03231310844421387
242,health serialization,0.0010976791381835938
243,order serialization,0.034449100494384766
244,health serialization,0.0030755996704101562
245,order serialization,0.032407283782958984
246,health serialization,0.0013473033905029297
247,order serialization,0.030327558517456055
248,health serialization,0.024466276168823242
249,order serialization,0.03769874572753906
250,health serialization,0.027028799057006836
251,order serialization,0.04362773895263672
252,health serialization,0.0066699981689453125
253,order serialization,0.05711650848388672
254,health serialization,0.0036230087280273438
255,order serialization,0.016855478286743164
256,health serialization,0.0037126541137695312
257,order serialization,0.04766392707824707
258,health serialization,0.002653837203979492
259,order serialization,0.08711957931518555
260,health serialization,0.004717826843261719
261,order serialization,0.02679157257080078
262,health serialization,0.0012717247009277344
263,order serialization,0.03906536102294922
264,health serialization,0.01609349250793457
265,order serialization,0.037604570388793945
266,health serialization,0.001155853271484375
267,order serialization,0.024218082427978516
268,health serialization,0.007812023162841797
269,order serialization,0.03430795669555664
270,health serialization,0.002563953399658203
271,order serialization,0.025426149368286133
272,health serialization,0.00838613510131836
273,order serialization,0.03728175163269043
274,health serialization,0.0030603408813476562
275,order serialization,0.038459062576293945
276,health serialization,0.012081623077392578
277,order serialization,0.027095556259155273
278,health serialization,0.03445577621459961
279,order serialization,0.024445295333862305
280,health serialization,0.011965751647949219
281,order serialization,0.013843059539794922
282,health serialization,0.01163172721862793
283,order serialization,0.017077922821044922
284,health serialization,0.013048410415649414
285,order serialization,0.020175695419311523
286,health serialization,0.016157150268554688
