iterStep,process,time
0,health serialization,0.01649761199951172
1,order serialization,0.05056929588317871
2,health serialization,0.05343174934387207
3,order serialization,0.08233785629272461
4,health serialization,0.1162099838256836
5,order serialization,0.038655996322631836
6,health serialization,0.04319882392883301
7,order serialization,0.1828618049621582
8,health serialization,0.03765869140625
9,order serialization,0.026018142700195312
10,health serialization,0.11507248878479004
11,order serialization,0.0578768253326416
12,health serialization,0.037438392639160156
13,order serialization,0.10750532150268555
14,health serialization,0.05249452590942383
15,order serialization,0.0433804988861084
16,health serialization,0.06364893913269043
17,order serialization,0.07839632034301758
18,health serialization,0.04779052734375
19,order serialization,0.17702960968017578
20,health serialization,0.01627326011657715
21,order serialization,0.11263155937194824
22,health serialization,0.03323793411254883
23,order serialization,0.1357252597808838
24,health serialization,0.024149179458618164
25,order serialization,0.11705970764160156
26,health serialization,0.01733255386352539
27,order serialization,0.07259154319763184
28,health serialization,0.012567758560180664
29,order serialization,0.03729510307312012
30,health serialization,0.03190326690673828
31,order serialization,0.09116315841674805
32,health serialization,0.007028102874755859
33,order serialization,0.07376217842102051
34,health serialization,0.024225234985351562
35,order serialization,0.19565987586975098
36,health serialization,0.03564000129699707
37,order serialization,0.05395364761352539
38,health serialization,0.03533673286437988
39,order serialization,0.0409550666809082
40,health serialization,0.037041664123535156
41,order serialization,0.0706934928894043
42,health serialization,0.027661561965942383
43,order serialization,0.11972856521606445
44,health serialization,0.0023381710052490234
45,order serialization,0.12383651733398438
46,health serialization,0.09087944030761719
47,order serialization,0.08014702796936035
48,health serialization,0.013042688369750977
49,order serialization,0.13495230674743652
50,health serialization,0.0064928531646728516
51,order serialization,0.08046913146972656
52,health serialization,0.06141161918640137
53,order serialization,0.17250752449035645
54,health serialization,0.004366159439086914
55,order serialization,0.06908535957336426
56,health serialization,0.021517038345336914
57,order serialization,0.06716346740722656
58,health serialization,0.021906375885009766
59,order serialization,0.10170531272888184
60,health serialization,0.01187276840209961
61,order serialization,0.07622885704040527
62,health serialization,0.055046796798706055
63,order serialization,0.09288525581359863
64,health serialization,0.07394599914550781
