iterStep,process,time
0,health serialization,0.01031041145324707
1,order serialization,0.009377479553222656
2,health serialization,0.0045125484466552734
3,order serialization,0.011949300765991211
4,health serialization,0.013356208801269531
5,order serialization,0.030956268310546875
6,health serialization,0.00599217414855957
7,order serialization,0.03642439842224121
8,health serialization,0.003797292709350586
9,order serialization,0.0460667610168457
10,health serialization,0.01462697982788086
11,order serialization,0.005545616149902344
12,health serialization,0.012041091918945312
13,order serialization,0.03090071678161621
14,health serialization,0.005949258804321289
15,order serialization,0.004655122756958008
16,health serialization,0.032848358154296875
17,order serialization,0.02851581573486328
18,health serialization,0.04698586463928223
19,order serialization,0.01926279067993164
20,health serialization,0.004079341888427734
21,order serialization,0.023725509643554688
22,health serialization,0.004514217376708984
23,order serialization,0.01641535758972168
24,health serialization,0.04097771644592285
25,order serialization,0.012091398239135742
26,health serialization,0.014017581939697266
27,order serialization,0.017903804779052734
28,health serialization,0.002691030502319336
29,order serialization,0.016273021697998047
30,health serialization,0.0019192695617675781
31,order serialization,0.010079622268676758
32,health serialization,0.023488283157348633
33,order serialization,0.005533456802368164
34,health serialization,0.002393960952758789
35,order serialization,0.025768518447875977
36,health serialization,0.0035238265991210938
37,order serialization,0.0066874027252197266
38,health serialization,0.02560734748840332
39,order serialization,0.005457162857055664
40,health serialization,0.011957883834838867
41,order serialization,0.055167436599731445
42,health serialization,0.007298469543457031
43,order serialization,0.023332595825195312
44,health serialization,0.008957386016845703
45,order serialization,0.009032964706420898
46,health serialization,0.0016791820526123047
47,order serialization,0.030231475830078125
48,health serialization,0.04082989692687988
49,order serialization,0.03164935111999512
50,health serialization,0.007723331451416016
51,order serialization,0.02946186065673828
52,health serialization,0.003835439682006836
53,order serialization,0.004418611526489258
54,health serialization,0.001972675323486328
55,order serialization,0.020895957946777344
56,health serialization,0.0016405582427978516
57,order serialization,0.019748926162719727
58,health serialization,0.007906198501586914
59,order serialization,0.03728175163269043
60,health serialization,0.010086297988891602
61,order serialization,0.014049768447875977
62,health serialization,0.007680416107177734
63,order serialization,0.0039060115814208984
64,health serialization,0.006261348724365234
65,order serialization,0.0068395137786865234
66,health serialization,0.0014913082122802734
67,order serialization,0.02871108055114746
68,health serialization,0.03243446350097656
69,order serialization,0.006196022033691406
70,health serialization,0.003823995590209961
71,order serialization,0.014185428619384766
72,health serialization,0.038306474685668945
73,order serialization,0.00542759895324707
74,health serialization,0.011129617691040039
75,order serialization,0.058596134185791016
76,health serialization,0.0018494129180908203
77,order serialization,0.00921320915222168
78,health serialization,0.01724386215209961
79,order serialization,0.006936311721801758
80,health serialization,0.007189273834228516
81,order serialization,0.007523059844970703
82,health serialization,0.03453993797302246
83,order serialization,0.011183500289916992
84,health serialization,0.0015857219696044922
85,order serialization,0.009680509567260742
86,health serialization,0.02692890167236328
87,order serialization,0.03230619430541992
88,health serialization,0.016026735305786133
89,order serialization,0.03718709945678711
90,health serialization,0.008324861526489258
91,order serialization,0.00449824333190918
92,health serialization,0.012551069259643555
93,order serialization,0.030245542526245117
94,health serialization,0.007364034652709961
95,order serialization,0.017944812774658203
96,health serialization,0.0098876953125
97,order serialization,0.0062448978424072266
98,health serialization,0.0021638870239257812
99,order serialization,0.02400660514831543
100,health serialization,0.0012669563293457031
101,order serialization,0.0075092315673828125
102,health serialization,0.005023479461669922
103,order serialization,0.043863534927368164
104,health serialization,0.0489652156829834
105,order serialization,0.022418498992919922
106,health serialization,0.007535696029663086
107,order serialization,0.010061979293823242
108,health serialization,0.010237455368041992
109,order serialization,0.06642627716064453
110,health serialization,0.0021278858184814453
111,order serialization,0.040026187896728516
112,health serialization,0.012934446334838867
113,order serialization,0.017950057983398438
114,health serialization,0.0011105537414550781
115,order serialization,0.02138996124267578
116,health serialization,0.00336456298828125
117,order serialization,0.014920949935913086
118,health serialization,0.006353855133056641
