iterStep,process,time
0,health serialization,0.0012257099151611328
1,order serialization,0.0013499259948730469
2,health serialization,0.0022916793823242188
3,order serialization,0.0012593269348144531
4,health serialization,0.0009467601776123047
5,order serialization,0.000762939453125
6,health serialization,0.0004756450653076172
7,order serialization,0.000751495361328125
8,health serialization,0.0003876686096191406
9,order serialization,0.0008111000061035156
10,health serialization,0.0005350112915039062
11,order serialization,0.000827789306640625
12,health serialization,0.0003490447998046875
13,order serialization,0.0007827281951904297
14,health serialization,0.0006024837493896484
15,order serialization,0.0007736682891845703
16,health serialization,0.0005009174346923828
17,order serialization,0.0007905960083007812
18,health serialization,0.0005848407745361328
19,order serialization,0.0009353160858154297
20,health serialization,0.00043654441833496094
21,order serialization,0.0011210441589355469
22,health serialization,0.0005428791046142578
23,order serialization,0.0009779930114746094
24,health serialization,0.00045943260192871094
25,order serialization,0.0008370876312255859
26,health serialization,0.0005505084991455078
27,order serialization,0.0008730888366699219
28,health serialization,0.0004374980926513672
29,order serialization,0.0007677078247070312
30,health serialization,0.0005581378936767578
31,order serialization,0.0007843971252441406
32,health serialization,0.00048160552978515625
33,order serialization,0.0008091926574707031
34,health serialization,0.0006129741668701172
35,order serialization,0.0009925365447998047
36,health serialization,0.0005006790161132812
37,order serialization,0.0007772445678710938
38,health serialization,0.0005948543548583984
39,order serialization,0.0009458065032958984
40,health serialization,0.0021719932556152344
41,order serialization,0.00079345703125
42,health serialization,0.0005576610565185547
43,order serialization,0.0009400844573974609
44,health serialization,0.0004048347473144531
45,order serialization,0.0008087158203125
46,health serialization,0.0006165504455566406
47,order serialization,0.0010101795196533203
48,health serialization,0.00045013427734375
49,order serialization,0.0008172988891601562
50,health serialization,0.0004432201385498047
51,order serialization,0.0008606910705566406
52,health serialization,0.0004432201385498047
53,order serialization,0.0007774829864501953
54,health serialization,0.0005402565002441406
55,order serialization,0.0011093616485595703
56,health serialization,0.0004303455352783203
57,order serialization,0.0008039474487304688
58,health serialization,0.0007371902465820312
