iterStep,process,time
0,health serialization,9.298324584960938e-05
1,health deserialization,1.0038940906524658
1,order serialization,0.00136566162109375
2,ORDER deserialization,1.0048608779907227
2,health serialization,0.0006215572357177734
3,health deserialization,1.0043468475341797
3,order serialization,0.001409769058227539
4,ORDER deserialization,1.0064589977264404
4,health serialization,0.0006229877471923828
5,health deserialization,1.0088865756988525
5,order serialization,0.0017664432525634766
6,ORDER deserialization,1.010267734527588
6,health serialization,0.000545501708984375
7,health deserialization,1.008737325668335
7,order serialization,0.0016372203826904297
8,ORDER deserialization,1.0059866905212402
8,health serialization,0.0005857944488525391
9,health deserialization,1.005568027496338
9,order serialization,0.002391815185546875
10,ORDER deserialization,1.0050921440124512
10,health serialization,0.0004944801330566406
11,health deserialization,1.0048096179962158
11,order serialization,0.0018019676208496094
12,ORDER deserialization,1.0062639713287354
12,health serialization,0.0005831718444824219
13,health deserialization,1.0063965320587158
13,order serialization,0.0017919540405273438
14,ORDER deserialization,1.0090253353118896
14,health serialization,0.0006780624389648438
15,health deserialization,1.0046424865722656
15,order serialization,0.002360820770263672
16,ORDER deserialization,1.0082612037658691
16,health serialization,0.0001842975616455078
17,health deserialization,1.0081312656402588
17,order serialization,0.0023081302642822266
18,ORDER deserialization,1.0054967403411865
18,health serialization,0.0005297660827636719
19,health deserialization,1.0056045055389404
19,order serialization,0.0014851093292236328
20,ORDER deserialization,1.0041072368621826
20,health serialization,0.0004887580871582031
21,health deserialization,1.0062098503112793
21,order serialization,0.0015723705291748047
22,ORDER deserialization,1.0056872367858887
22,health serialization,0.0005764961242675781
23,health deserialization,1.0036368370056152
23,order serialization,0.004276752471923828
24,ORDER deserialization,1.0026090145111084
24,health serialization,0.0004773139953613281
25,health deserialization,1.0023596286773682
25,order serialization,0.0008893013000488281
26,ORDER deserialization,1.003218173980713
26,health serialization,0.00023674964904785156
27,health deserialization,1.003222942352295
27,order serialization,0.0018131732940673828
28,ORDER deserialization,1.0033187866210938
28,health serialization,0.0004096031188964844
29,health deserialization,1.003169298171997
29,order serialization,0.0026226043701171875
30,ORDER deserialization,1.0046110153198242
30,health serialization,0.00043702125549316406
31,health deserialization,1.0028138160705566
31,order serialization,0.0014209747314453125
32,ORDER deserialization,1.0033624172210693
32,health serialization,0.0004918575286865234
33,health deserialization,1.0021426677703857
33,order serialization,0.004326343536376953
34,ORDER deserialization,1.0018665790557861
34,health serialization,0.0003662109375
35,health deserialization,1.0026850700378418
35,order serialization,0.0009984970092773438
36,ORDER deserialization,1.003485918045044
36,health serialization,0.0003726482391357422
37,health deserialization,1.0031886100769043
37,order serialization,0.0008993148803710938
38,ORDER deserialization,1.002476692199707
38,health serialization,0.0002238750457763672
39,health deserialization,1.0025384426116943
39,order serialization,0.0008957386016845703
40,ORDER deserialization,1.0040502548217773
